Iteration ,Eigenvalue, Calculation Time
0,-109.03460211,39.428975
1,-109.058914636,86.763157
2,-109.078789992,163.020695
3,-109.111715913,359.224994
4,-109.159852474,821.677525
5,-109.182139741,1484.888764
6,-109.188637311,2240.165426
7,-109.193749244,3064.994652
8,-109.197047699,3905.883858
9,-109.199835181,4705.478335
10,-109.201350738,5523.622113
11,-109.203385467,6342.346818
12,-109.205683205,7269.622195
13,-109.207611286,8232.440259
14,-109.209664607,9142.514454
15,-109.211082691,10053.518392
16,-109.211998415,10955.674491
17,-109.212666964,11838.773983
18,-109.213120303,12717.847644
19,-109.213484807,13562.417005
