Iteration ,Eigenvalue, Projected Residual,Calculation Time,Step Size
0,-76.075838521,0.0611547498055,0.882119,0.283859162899
1,-76.0819037738,0.301179158931,3.31088,0.13379620783
2,-76.0922029965,0.404574401878,10.06421,0.126083799984
3,-76.0991869242,0.593947627461,34.285807,0.0396522981101
4,-76.1153604915,0.957366501352,134.738837,0.0353645118783
5,-76.1384949917,1.17508141843,532.615245,0.0335854633097
6,-76.16227827,1.28123150462,1596.233648,0.0289632112584
7,-76.1846131651,1.25741607525,2659.39917,0.0281919360963
8,-76.2010523024,1.17787692453,3721.213813,0.0236047586212
9,-76.2149395344,0.999786723773,4789.856769,0.0276258974142
10,-76.2260007004,1.01139875075,5858.401597,0.0215240130798
11,-76.2345722262,0.834001026166,6927.271578,0.0245075136692
12,-76.2405150659,0.784302811495,7992.033942,0.0192290224565
13,-76.2445410698,0.606552814281,9057.225347,0.0217077527775
14,-76.2472567743,0.557275863816,10125.05248,0.0173579975364
15,-76.2491076256,0.438584234243,11190.640287,0.0190367760837
16,-76.2504470038,0.40776301748,12258.687453,0.0159690850133
17,-76.2513956628,0.333370377847,13324.437899,0.0168762981607
18,-76.2521152214,0.306890806675,14391.476275,0.0151174194701
19,-76.2526495268,0.261625788881,15465.221529,0.0154038670745
20,-76.2530583363,0.240931301127,16534.248036,0.0138951544804
21,-76.2533724734,0.211442047218,17602.45513,0.0138311846907
22,-76.2536222697,0.196550376179,18673.349801,0.0127160079286
23,-76.2538204227,0.178287387317,19741.182052,0.0122367299749
24,-76.2539820248,0.166867234366,20811.531076,0.0113816355822
25,-76.2541145466,0.155702388752,21882.258859,0.0106845655223
26,-76.2542247513,0.147254653363,22953.95465,0.00990941029509
27,-76.2543174458,0.139380882582,24022.731232,0.00930276664655
28,-76.254396041,0.133215587711,25090.194484,0.00868310165786
29,-76.2544644323,0.127014218289,26159.135534,0.00833147543629
